COUNTRY_NAME,YEAR,OBS_VALUE_sum,OBS_VALUE_mean,OBS_VALUE_count,PATENT_AUTHORITIES_nunique,MEASURE_nunique
SAU,2019,3643.0,140.12,26,5,3
SAU,2020,2980.59,165.59,18,5,2
SAU,2021,849.23,424.62,2,2,2
SLV,2017,9.28,0.37,25,5,3
SLV,2018,2.13,0.09,25,5,3
SLV,2019,2.0,0.08,25,5,3
SLV,2020,0.25,0.01,17,5,2
SLV,2021,0.0,,0,0,0
SYC,2017,9.87,0.39,25,5,3
SYC,2018,3.67,0.15,25,5,3
SYC,2019,9.03,0.36,25,5,3
SYC,2020,8.0,0.47,17,5,2
SYC,2021,0.0,,0,0,0
Singapore,2017,4901.27,188.51,26,5,3
Singapore,2018,5038.06,193.77,26,5,3
Singapore,2019,5176.31,199.09,26,5,3
Singapore,2020,3977.61,220.98,18,5,2
Singapore,2021,804.62,402.31,2,2,2
Slovakia,2017,405.99,15.61,26,5,3
Slovakia,2018,341.73,13.14,26,5,3
Slovakia,2019,356.15,13.7,26,5,3
Slovakia,2020,296.14,16.45,18,5,2
Slovakia,2021,97.18,48.59,2,2,2
Slovenia,2017,768.2,29.55,26,5,3
Slovenia,2018,566.75,21.8,26,5,3
Slovenia,2019,612.7,23.57,26,5,3
Slovenia,2020,525.16,29.18,18,5,2
Slovenia,2021,178.0,89.0,2,2,2
South Africa,2017,970.08,37.31,26,5,3
South Africa,2018,946.97,36.42,26,5,3
South Africa,2019,756.26,29.09,26,5,3
South Africa,2020,643.3,35.74,18,5,2
South Africa,2021,88.56,44.28,2,2,2
South Korea,2017,98665.69,3794.83,26,5,3
South Korea,2018,101580.68,3906.95,26,5,3
South Korea,2019,105114.35,4042.86,26,5,3
South Korea,2020,87188.75,4843.82,18,5,2
South Korea,2021,12924.01,6462.01,2,2,2
Spain,2017,9126.38,351.01,26,5,3
Spain,2018,9394.77,361.34,26,5,3
Spain,2019,8803.53,338.6,26,5,3
Spain,2020,6824.72,379.15,18,5,2
Spain,2021,2250.73,1125.36,2,2,2
Sweden,2017,19757.69,759.91,26,5,3
Sweden,2018,18462.98,710.11,26,5,3
Sweden,2019,17121.49,658.52,26,5,3
Sweden,2020,12560.99,697.83,18,5,2
Sweden,2021,4332.54,2166.27,2,2,2
Switzerland,2017,20860.48,802.33,26,5,3
Switzerland,2018,20051.81,771.22,26,5,3
Switzerland,2019,18874.67,725.95,26,5,3
Switzerland,2020,14997.87,833.21,18,5,2
Switzerland,2021,5424.89,2712.44,2,2,2
TTO,2017,13.58,0.54,25,5,3
TTO,2018,19.63,0.79,25,5,3
TTO,2019,0.0,0.0,25,5,3
TTO,2020,2.5,0.15,17,5,2
TTO,2021,0.0,,0,0,0
TUN,2017,42.63,1.71,25,5,3
TUN,2018,39.2,1.57,25,5,3
TUN,2019,35.02,1.4,25,5,3
TUN,2020,31.29,1.84,17,5,2
TUN,2021,0.0,,0,0,0
Taiwan,2017,43822.55,1685.48,26,5,3
Taiwan,2018,42995.79,1653.68,26,5,3
Taiwan,2019,39120.9,1504.65,26,5,3
Taiwan,2020,28370.07,1576.11,18,5,2
Taiwan,2021,1999.41,999.71,2,2,2
Thailand,2017,557.96,21.46,26,5,3
Thailand,2018,492.63,18.95,26,5,3
Thailand,2019,490.37,18.86,26,5,3
Thailand,2020,398.01,22.11,18,5,2
Thailand,2021,92.9,46.45,2,2,2
Turkey,2017,4199.36,161.51,26,5,3
Turkey,2018,3699.19,142.28,26,5,3
Turkey,2019,3526.78,135.65,26,5,3
Turkey,2020,3407.65,189.31,18,5,2
Turkey,2021,463.94,231.97,2,2,2
UKR,2017,467.16,18.69,25,5,3
UKR,2018,479.02,19.16,25,5,3
UKR,2019,432.4,17.3,25,5,3
UKR,2020,398.26,23.43,17,5,2
UKR,2021,0.0,,0,0,0
URY,2017,58.56,2.34,25,5,3
URY,2018,58.68,2.35,25,5,3
URY,2019,62.49,2.5,25,5,3
URY,2020,17.96,1.06,17,5,2
URY,2021,0.0,,0,0,0
UZB,2017,13.53,0.54,25,5,3
UZB,2018,5.5,0.22,25,5,3
UZB,2019,1.67,0.07,25,5,3
UZB,2020,3.1,0.18,17,5,2
UZB,2021,0.0,,0,0,0
United Kingdom,2017,41551.93,1598.15,26,5,3
United Kingdom,2018,39413.08,1515.89,26,5,3
United Kingdom,2019,37476.26,1441.39,26,5,3
United Kingdom,2020,27586.1,1532.56,18,5,2
United Kingdom,2021,7677.46,3838.73,2,2,2
United States,2017,504799.54,19415.37,26,5,3
United States,2018,476969.5,18344.98,26,5,3
United States,2019,449594.07,17292.08,26,5,3
United States,2020,313945.48,17441.42,18,5,2
United States,2021,54229.88,27114.94,2,2,2
VEN,2017,15.57,0.62,25,5,3
VEN,2018,13.35,0.53,25,5,3
VEN,2019,16.0,0.64,25,5,3
VEN,2020,6.65,0.39,17,5,2
VEN,2021,0.0,,0,0,0
World Total,2017,1596492.0,61403.54,26,5,3
World Total,2018,1534440.0,59016.92,26,5,3
World Total,2019,1469487.0,56518.73,26,5,3
World Total,2020,1125181.09,62510.06,18,5,2
World Total,2021,225066.05,112533.02,2,2,2
YUG_F,2017,0.67,0.03,25,5,3
YUG_F,2018,0.5,0.02,25,5,3
YUG_F,2019,0.0,0.0,25,5,3
YUG_F,2020,0.0,0.0,17,5,2
YUG_F,2021,0.0,,0,0,0
ZWE,2017,2.32,0.09,25,5,3
ZWE,2018,2.25,0.09,25,5,3
ZWE,2019,4.5,0.18,25,5,3
ZWE,2020,0.5,0.03,17,5,2
ZWE,2021,0.0,,0,0,0
